Index,Address,Year,Type,Status,Value,Balance,Create Block,Redeem Block,Create Time,Redeem Time
15445,1CaG96iupTKXs25d1xmqPWr8B11fei4DVL,2012,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,167007,949760,1329372133,1778995867
39177,131y1wYF9UvTFBL3TmTbQb5JLK8cUN4n56,2013,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,223345,949238,1361942308,1778693057
28747,1GoczuYDVLLde6Fzv17uGr1AkDGFtZKKfM,2011,S2-COIN-25,Redeemed,25.00000000,0.00001094,223535,949097,1362029921,1778602245
41082,138CLJwcZtWw3CEqfCn1XvhADxatWLZo5B,2013,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,231911,949072,1366259149,1778589918
61557,1AgzZrqzzNCUcjygF6vT62kpuUrLUBTGbY,2013,S3-COIN-0.1-AG,Redeemed,0.10000000,0E-8,260165,949006,1380166204,1778539851
61347,1Agz2weoVGjwzZas34TZ4vtCoDkJ69ZFQL,2013,S3-COIN-0.1-AG,Redeemed,0.10000000,0E-8,260165,949003,1380166204,1778536867
16737,1CaSpoLUwDojDpsKjQTAxrM8DoBLDYUcCV,2012,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,194056,948323,1345051414,1778164156
20940,1CCybSNB3B5esm75eo6hmJKFuvfE5Z5bPH,2012,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,206798,948270,1352248883,1778130673
23207,1CsnsWUXUuhaWrKVsenLQqj1KBW9uW8jb9,2012,S2-COIN-1-2012,Redeemed,1.00000000,0.00000548,213103,948203,1356153413,1778094000
832,13q4wFuNBAnaWjuENRwkhJrHLTDPzdjonX,2011,S1-COIN-1,Redeemed,1.00000000,0.50081900,145478,948185,1316099206,1778082816
17744,1Cc3bpR62voDnD4qvu5BgYnJmSxYUKiaSd,2011,S2-COIN-1-2011,Redeemed,1.00000000,0E-8,157370,947799,1323802451,1777855723
43608,13Gq3oJayAokDYbcY9WAtADpbn7jZA8HaZ,2013,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,239972,947758,1370475973,1777833484
3115,18hNvXkVHzGP9sdRJHpMJv89oywyDn5fLM,2011,S1-COIN-1,Redeemed,1.00000000,0E-8,153165,947497,1321223827,1777675158
40122,1354uia7i1U3SV6fbqR7CvuDp8P43sGKW8,2013,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,223535,947336,1362029921,1777587928
27696,1Gd4XJ2WNmGvJEvw4s2s49q2mhh1kdYMWV,2011,S2-COIN-25,Redeemed,25.00000000,0.00000546,210122,947150,1354176265,1777465590
28688,1Go5iGLS3nGHwe6o3ti5XL88dFY9XpCbSV,2011,S2-COIN-25,Redeemed,25.00000000,0.00000546,210122,947148,1354176265,1777465317
28922,1GotcJUTvkPiQT5s7sMgRgiL71NwVV47z4,2011,S2-COIN-25,Redeemed,25.00000000,0.00000546,210122,947148,1354176265,1777465317
44276,13JXVAQmXMS6DBvvCcT1nroHJWRgwwzg3X,2013,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,244700,947065,1372920493,1777410373
39711,133rTZtJpZuT9xybZH5aZuERKXRRNQ5NrV,2013,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,223535,947062,1362029921,1777408640
40146,1359SjmXSEiKChHJiu76q9tM9Kpht6eTKn,2013,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,223535,947062,1362029921,1777408640
24203,1csWN48yuM2vMbGrZhgWCwYCP3gZsgMbP,2012,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,212529,946945,1355757190,1777335830
384,12sjdovic6guedbUDm7YqqF8BwDEteNAxx,2011,S1-COIN-1,Redeemed,1.00000000,0E-8,145048,946943,1315843446,1777334569
389,12TAzg4tXpyYLpXnpp4TZdsscMJN2JdqAY,2011,S1-COIN-1,Redeemed,1.00000000,0E-8,145048,946943,1315843446,1777334569
485,12Ytk4BadXCnL9vKBPpS55ZFDYPxkmNe1Q,2011,S1-COIN-1,Redeemed,1.00000000,0E-8,145048,946943,1315843446,1777334569
508,12ZYRvXzT1f1zXAWSoxRkNuVp3x5qJwohf,2011,S1-COIN-1,Redeemed,1.00000000,0E-8,145048,946943,1315843446,1777334569
